Art/Deco Europe associatedWithRegion
Royal/Court Harley/Granville-Barker foundedBy
Harley/Granville-Barker Royal/Court founderOf
Royal/Court J./E./Vedrenne foundedBy
J./E./Vedrenne Royal/Court founderOf
Harley/Granville-Barker J./E./Vedrenne associatedWith
J./E./Vedrenne Harley/Granville-Barker associatedWith
Shaw Harley/Granville-Barker associatedWith
Harley/Granville-Barker Shaw associatedWith
Shaw J./E./Vedrenne associatedWith
J./E./Vedrenne Shaw associatedWith
Shaw Creative/Evolution associatedWith
Creative/Evolution Shaw associatedWith
Granville-Barker John/Tanner performerOf
Granville-Barker Shaw associatedWith
John/Tanner Shaw createdBy
Shaw John/Tanner creatorOf
Shaw Ireland associatedWith
Ireland Shaw associatedWith
Shaw Misalliance creatorOf
Misalliance Shaw createdBy
Pygmalion London performedIn
Pygmalion Shaw directedBy
Shaw Pygmalion directorOf
Alan/Jay/Lerner Pygmalion influencedBy
Pygmalion Alan/Jay/Lerner influencedDegreeDirect
Frederick/Loewe Pygmalion influencedBy
Pygmalion Frederick/Loewe influencedDegreeDirect
Shaw Alan/Jay/Lerner influencedDegreeDirect
Alan/Jay/Lerner Shaw influencedByDegreeDirect
Shaw Frederick/Loewe influencedDegreeDirect
Frederick/Loewe Shaw influencedByDegreeDirect
Pygmalion Henry/Higgins associatedWith
Henry/Higgins Pygmalion associatedWith
Shaw Pygmalion creatorOf
Pygmalion Shaw createdBy
Henry/Higgins Shaw associatedWith
Shaw Henry/Higgins associatedWith
Shaw Henry/Sweet knew
Henry/Sweet Shaw knew
Pygmalion Eliza/Doolittle associatedWith
Eliza/Doolittle Pygmalion associatedWith
Shaw Eliza/Doolittle associatedWith
Eliza/Doolittle Shaw associatedWith
Henry/Higgins Eliza/Doolittle associatedWith
Eliza/Doolittle Henry/Higgins associatedWith
Henry/Higgins Henry/Sweet associatedWith
Henry/Sweet Henry/Higgins associatedWith
Higgins Shaw associatedWith
Shaw Higgins associatedWith
Shaw Heartbreak/House creatorOf
Heartbreak/House Shaw createdBy
Shaw Creative/Evolution associatedWith
Creative/Evolution Shaw associatedWith
Shaw Garden/of/Eden depictorOf
Garden/of/Eden Shaw depictedBy
Creative/Evolution Garden/of/Eden associatedWith
Garden/of/Eden Creative/Evolution associatedWith
Shaw Benito/Mussolini associatedWith
Benito/Mussolini Shaw associatedWith
Shaw Joseph/Stalin associatedWith
Joseph/Stalin Shaw associatedWith
Shaw Adolph/Hitler associatedWith
Adolph/Hitler Shaw associatedWith
Benito/Mussolini Joseph/Stalin associatedWith
Joseph/Stalin Benito/Mussolini associatedWith
Benito/Mussolini Adolph/Hitler associatedWith
Adolph/Hitler Benito/Mussolini associatedWith
Joseph/Stalin Adolph/Hitler associatedWith
Adolph/Hitler Joseph/Stalin associatedWith
Ibsen Geneva creatorOf
Geneva Ibsen createdBy
Benito/Mussolini Geneva associatedWith
Geneva Benito/Mussolini associatedWith
Joseph/Stalin Geneva associatedWith
Geneva Joseph/Stalin associatedWith
Adolph/Hitler Geneva associatedWith
Geneva Adolph/Hitler associatedWith
Shaw Bertolt/Brecht influencedDegreeKey
Bertolt/Brecht Shaw influencedByDegreeKey
Shaw Tom/Stoppard influencedDegreeKey
Tom/Stoppard Shaw influencedByDegreeKey
Shaw Tony/Kushner influencedDegreeKey
Tony/Kushner Shaw influencedByDegreeKey
Shaw/Festival Niagara-on-the-Lake locatedIn
Niagara-on-the-Lake Shaw/Festival locationOf
Shaw/Festival Ontario locatedIn
Ontario Shaw/Festival locationOf
Shaw/Festival Canada locatedIn
Canada Shaw/Festival locationOf
Niagara-on-the-Lake Ontario locatedIn
Ontario Niagara-on-the-Lake locationOf
Niagara-on-the-Lake Canada locatedIn
Canada Niagara-on-the-Lake locationOf
Ontario Canada locatedIn
Canada Ontario locationOf
Dada Zurich originatedIn
Zurich Switzerland locatedIn
Cabaret/Voltaire French/Enlightenment influencedBy
Hugo/Ball Emmy/Hennings associatedWith
Emmy/Hennings Hugo/Ball associatedWith
Hans/Arp Otto/van/Rees associatedWith
Otto/van/Rees Hans/Arp associatedWith
Hennings Ball associatedWith
Ball Hennings associatedWith
Hans/Arp Sophie/Taeuber associatedWith
Sophie/Taeuber Hans/Arp associatedWith
Sophie/Taeuber Galerie/Tanner associatedWith
Galerie/Tanner Sophie/Taeuber associatedWith
Tristan/Tzara Marcel/Janco associatedWith
Marcel/Janco Tristan/Tzara associatedWith
Richard/Huelsenbeck Ball associatedWith
Ball Richard/Huelsenbeck associatedWith
Galerie/Dada.pngFigure Zurich originatedIn
Sophie/Taeuber Galerie/Dada associatedWith
Galerie/Dada Sophie/Taeuber associatedWith
Huelsenbeck Dada founderOf
Dada Huelsenbeck foundedBy
Huelsenbeck Ball associatedWith
Ball Huelsenbeck associatedWith
Ball Dada founderOf
Dada Ball foundedBy
Huelsenbeck Tzara associatedWith
Tzara Huelsenbeck associatedWith
Huelsenbeck Tzara associatedWith
Tzara Huelsenbeck associatedWith
Berlin/Dada Germany originatedIn
Berlin/Dada Zurich/Dadaists associatedWith
Zurich/Dadaists Berlin/Dada associatedWith
Zurich/Dadaists Tzara influencedBy
Tzara Zurich/Dadaists founderOf
Zurich/Dadaists Tzara foundedBy
Tzara Galerie/Dada associatedWith
Galerie/Dada Zurich/Dadaists associatedWith
Zurich/Dadaists Galerie/Dada associatedWith
Tzara Dada founderOf
Dada Tzara foundedBy
Dada Europe originatedIn
Dada Zurich associatedWith
Zurich Dada associatedWith
Arp Max/Ernst associatedWith
Max/Ernst Arp associatedWith
Tzara Francis/Picabia associatedWith
Francis/Picabia Tzara associatedWith
Dada Paris flourishedIn
Dada Surrealism associatedWith
Surrealism Dada associatedWith
Surrealism Dada originatedIn
Tzara Surrealism associatedWith
Surrealism Tzara associatedWith
Francis/Picabia Surrealism associatedWith
Surrealism Francis/Picabia associatedWith
Richard/Huelsenbeck Zurich/Dada associatedWith
Zurich/Dada Richard/Huelsenbeck associatedWith
Zurich/Dada Zurich originatedIn
Zurich/Dada Cabaret/Voltaire associatedWith
Cabaret/Voltaire Zurich/Dada associatedWith
Zurich/Dada Richard/Huelsenbeck influencedBy
Cabaret/Voltaire Richard/Huelsenbeck influencedBy
Johannes/Baader George/Grosz associatedWith
George/Grosz Johannes/Baader associatedWith
Raoul/Hausmann Johannes/Baader associatedWith
Johannes/Baader Raoul/Hausmann associatedWith
George/Grosz Raoul/Hausmann associatedWith
Raoul/Hausmann George/Grosz associatedWith
John/Heartfield Johannes/Baader associatedWith
Johannes/Baader John/Heartfield associatedWith
George/Grosz John/Heartfield associatedWith
John/Heartfield George/Grosz associatedWith
Raoul/Hausmann John/Heartfield associatedWith
John/Heartfield Raoul/Hausmann associatedWith
Wieland/Herzfelde Johannes/Baader associatedWith
Johannes/Baader Wieland/Herzfelde associatedWith
George/Grosz Wieland/Herzfelde associatedWith
Wieland/Herzfelde George/Grosz associatedWith
Raoul/Hausmann Wieland/Herzfelde associatedWith
Wieland/Herzfelde Raoul/Hausmann associatedWith
Wieland/Herzfelde John/Heartfield associatedWith
John/Heartfield Wieland/Herzfelde associatedWith
Hannah/Höch Johannes/Baader associatedWith
Johannes/Baader Hannah/Höch associatedWith
Hannah/Höch George/Grosz associatedWith
George/Grosz Hannah/Höch associatedWith
Hannah/Höch Raoul/Hausmann associatedWith
Raoul/Hausmann Hannah/Höch associatedWith
Hannah/Höch John/Heartfield associatedWith
John/Heartfield Hannah/Höch associatedWith
Hannah/Höch Wieland/Herzfelde associatedWith
Wieland/Herzfelde Hannah/Höch associatedWith
Franz/Jung Johannes/Baader associatedWith
Johannes/Baader Franz/Jung associatedWith
Franz/Jung George/Grosz associatedWith
George/Grosz Franz/Jung associatedWith
Franz/Jung Raoul/Hausmann associatedWith
Raoul/Hausmann Franz/Jung associatedWith
Franz/Jung John/Heartfield associatedWith
John/Heartfield Franz/Jung associatedWith
Franz/Jung Wieland/Herzfelde associatedWith
Wieland/Herzfelde Franz/Jung associatedWith
Franz/Jung Hannah/Höch associatedWith
Hannah/Höch Franz/Jung associatedWith
Walter/Mehring Johannes/Baader associatedWith
Johannes/Baader Walter/Mehring associatedWith
Walter/Mehring George/Grosz associatedWith
George/Grosz Walter/Mehring associatedWith
Walter/Mehring Raoul/Hausmann associatedWith
Raoul/Hausmann Walter/Mehring associatedWith
Walter/Mehring John/Heartfield associatedWith
John/Heartfield Walter/Mehring associatedWith
Walter/Mehring Wieland/Herzfelde associatedWith
Wieland/Herzfelde Walter/Mehring associatedWith
Walter/Mehring Hannah/Höch associatedWith
Hannah/Höch Walter/Mehring associatedWith
Walter/Mehring Franz/Jung associatedWith
Franz/Jung Walter/Mehring associatedWith
Otto/Schmalhausen Johannes/Baader associatedWith
Johannes/Baader Otto/Schmalhausen associatedWith
Otto/Schmalhausen George/Grosz associatedWith
George/Grosz Otto/Schmalhausen associatedWith
Otto/Schmalhausen Raoul/Hausmann associatedWith
Raoul/Hausmann Otto/Schmalhausen associatedWith
Otto/Schmalhausen John/Heartfield associatedWith
John/Heartfield Otto/Schmalhausen associatedWith
Otto/Schmalhausen Wieland/Herzfelde associatedWith
Wieland/Herzfelde Otto/Schmalhausen associatedWith
Otto/Schmalhausen Hannah/Höch associatedWith
Hannah/Höch Otto/Schmalhausen associatedWith
Franz/Jung Otto/Schmalhausen associatedWith
Otto/Schmalhausen Franz/Jung associatedWith
Walter/Mehring Otto/Schmalhausen associatedWith
Otto/Schmalhausen Walter/Mehring associatedWith
Club/Dada Berlin originatedIn
Munich/Secessionist/Lovis/Corinth Huelsenbeck associatedWith
Huelsenbeck Munich/Secessionist/Lovis/Corinth associatedWith
Huelsenbeck Dadaist/Manifesto creatorOf
Dada Huelsenbeck foundedBy
Huelsenbeck Dada founderOf
Dadaist Dada influencedBy
Dadaist Pantagruel influencedBy
First/International/Dada/Fair Berlin/Dadaists/Grosz associatedWith
Berlin/Dadaists/Grosz First/International/Dada/Fair associatedWith
Hausmann Berlin/Dadaists/Grosz memberOf
Heartfield Berlin/Dadaists/Grosz memberOf
First/International/Dada/Fair Otto/Burchard exhibitedIn
Francis/Picabia Max/Ernst associatedWith
Max/Ernst Francis/Picabia associatedWith
Francis/Picabia Johannes/Baargeld associatedWith
Johannes/Baargeld Francis/Picabia associatedWith
Francis/Picabia Rudolf/Schlichter associatedWith
Rudolf/Schlichter Francis/Picabia associatedWith
Georg/Scholz Francis/Picabia associatedWith
Francis/Picabia Georg/Scholz associatedWith
Otto/Dix Francis/Picabia associatedWith
Francis/Picabia Otto/Dix associatedWith
Max/Ernst Johannes/Baargeld associatedWith
Johannes/Baargeld Max/Ernst associatedWith
Max/Ernst Rudolf/Schlichter associatedWith
Rudolf/Schlichter Max/Ernst associatedWith
Max/Ernst Georg/Scholz associatedWith
Georg/Scholz Max/Ernst associatedWith
Max/Ernst Otto/Dix associatedWith
Otto/Dix Max/Ernst associatedWith
Johannes/Baargeld Rudolf/Schlichter associatedWith
Rudolf/Schlichter Johannes/Baargeld associatedWith
Johannes/Baargeld Georg/Scholz associatedWith
Georg/Scholz Rudolf/Schlichter associatedWith
Johannes/Baargeld Otto/Dix associatedWith
Otto/Dix Johannes/Baargeld associatedWith
Rudolf/Schlichter Georg/Scholz associatedWith
Georg/Scholz Rudolf/Schlichter associatedWith
Rudolf/Schlichter Otto/Dix associatedWith
Otto/Dix Rudolf/Schlichter associatedWith
Heartfield Prussian/Archangel creatorOf
Schlichter Prussian/Archangel creatorOf
Prussian/Archangel Heartfield createdBy
Prussian/Archangel Schlichter createdBy
Heartfield Schlichter associatedWith
Schlichter Heartfield associatedWith
Dada Cologne flourishedIn
Alfred/Grünwald Johannes/Baargeld associatedWith
Johannes/Baargeld Alfred/Grünwald associatedWith
Luise/Strauss-Ernst Franz/Seiwert associatedWith
Franz/Seiwert Luise/Strauss-Ernst associatedWith
Luise/Strauss-Ernst Anton/Räderscheidt associatedWith
Anton/Räderscheidt Luise/Strauss-Ernst associatedWith
Luise/Strauss-Ernst Marta/Hegemann associatedWith
Marta/Hegemann Luise/Strauss-Ernst associatedWith
Luise/Strauss-Ernst Angelika/Hoerle associatedWith
Angelika/Hoerle Luise/Strauss-Ernst associatedWith
Franz/Seiwert Anton/Räderscheidt associatedWith
Anton/Räderscheidt Franz/Seiwert associatedWith
Franz/Seiwert Marta/Hegemann associatedWith
Marta/Hegemann Franz/Seiwert associatedWith
Franz/Seiwert Angelika/Hoerle associatedWith
Angelika/Hoerle Franz/Seiwert associatedWith
Anton/Räderscheidt Marta/Hegemann associatedWith
Marta/Hegemann Anton/Räderscheidt associatedWith
Anton/Räderscheidt Angelika/Hoerle associatedWith
Angelika/Hoerle Anton/Räderscheidt associatedWith
Marta/Hegemann Angelika/Hoerle associatedWith
Angelika/Hoerle Marta/Hegemann associatedWith
Ernst Cologne/Society/of/the/Arts memberOf
Baargeld Cologne/Society/of/the/Arts memberOf
Seiwert Räderscheidt associatedWith
Räderscheidt Seiwert associatedWith
Seiwert Cologne/Dada memberOf
Räderscheidt Cologne/Dada memberOf
Ernst Dada/West/Stupidia founderOf
Dada/West/Stupidia Ernst foundedBy
Baargeld Dada/West/Stupidia founderOf
Dada/West/Stupidia Baargeld foundedBy
Dada/West/Stupidia Zurich originatedIn
Dada/West/Stupidia Fatagaga associatedWith
Fatagaga Dada/West/Stupidia associatedWith
Seiwert Cologne/Dadaists associatedWith
Cologne/Dadaists Seiwert associatedWith
Räderscheidt Cologne/Dadaists associatedWith
Cologne/Dadaists Räderscheidt associatedWith
Cologne/Dadaists Hoerles associatedWith
Hoerles Cologne/Dadaists associatedWith
Seiwert Räderscheidt associatedWith
Räderscheidt Seiwert associatedWith
Seiwert Hoerles associatedWith
Hoerles Seiwert associatedWith
Seiwert Stupid founderOf
Stupid Seiwert foundedBy
Räderscheidt Stupid founderOf
Stupid Räderscheidt foundedBy
Hoerles Stupid founderOf
Stupid Hoerles foundedBy
Ernst André/Breton associatedWith
André/Breton Ernst associatedWith
André/Breton Ernst inspiredBy
Surrealists Ernst inspiredBy
Dada/Early/Spring/Exhibition Cologne associatedWith
Cologne Dada/Early/Spring/Exhibition associatedWith
Ernst Dada/Early/Spring/Exhibition associatedWith
Baargeld Dada/Early/Spring/Exhibition associatedWith
Ernst Baargeld associatedWith
Baargeld Bridgeman associatedWith
Cologne/Dada Baargeld associatedWith
Baargeld Cologne/Dada associatedWith
Ernst Cologne/Dada associatedWith
Cologne/Dada Ernst associatedWith
Cologne Cologne/Dada locatedIn
Cologne/Dada Cologne locatedIn
New/York Dada locatedIn
Dada New/York locatedIn
New/York/Dada New/York locatedIn
New/York New/York/Dada locatedIn
Zurich/Dada New/York/Dada associatedWith
New/York/Dada Zurich/Dada associatedWith
American Louise/Arensberg hasNationality
Louise/Arensberg New/York locatedIn
Marcel/Duchamp New/York associatedWith
New/York Marcel/Duchamp associatedWith
Man/Ray American hasNationality
Man/Ray Elsa/von/Freytag-Lovinghoven associatedWith
Elsa/von/Freytag-Lovinghoven Man/Ray associatedWith
Man/Ray New/York locatedIn
Elsa/von/Freytag-Lovinghoven New/York locatedIn
Picabia Man/Ray associatedWith
Man/Ray Picabia associatedWith
Man/Ray Marcel/Duchamp associatedWith
Marcel/Duchamp Man/Ray associatedWith
Marcel/Duchamp Fountain creatorOf
Fountain Marcel/Duchamp createdBy
Marcel/Duchamp Alfred/StieglitzSource associatedWith
Alfred/StieglitzSource Marcel/Duchamp associatedWith
Marcel/Duchamp New/York/Dada associatedWith
New/York/Dada Marcel/Duchamp associatedWith
Alfred/StieglitzSource New/York/Dada associatedWith
New/York/Dada Alfred/StieglitzSource associatedWith
New/York New/York/Dada originatedIn
New/York/Dada New/York originatedIn
Man/Ray New/York/Dada associatedWith
New/York/Dada Man/Ray associatedWith
Duchamp New/York/Dada associatedWith
New/York/Dada Duchamp associatedWith
Man/Ray Duchamp associatedWith
Duchamp Man/Ray associatedWith
Man/Ray Zurich/Dadaist/Tristan/Tzara associatedWith
Zurich/Dadaist/Tristan/Tzara Man/Ray associatedWith
Duchamp Zurich/Dadaist/Tristan/Tzara associatedWith
Zurich/Dadaist/Tristan/Tzara Duchamp associatedWith
New/York/Dada Zurich/Dadaist/Tristan/Tzara associatedWith
Zurich/Dadaist/Tristan/Tzara New/York/Dada associatedWith
New/York/Dada Man/Ray editedBy
New/York/Dada Duchamp editedBy
Zurich/Dadaist/Tristan/Tzara New/York/Dada contributedTo
New/York/Dada Zurich/Dadaist/Tristan/Tzara influencedBy
New/York/Dada Zurich/Dadaist/Tristan/Tzara inspiredBy
